真正活细胞的发现者是谁？,列文虎克（Leeuwenhoek）。
列文虎克改进的显微镜大约可以将物体放大多少倍？,约 300 倍。
1838年发表《植物发生论》并指出细胞是构成植物基本单位的科学家是_____。,施莱登（M. J. Schleiden）
施旺（T. Schwann）在1839年提出的关于动植物结构的一致性观点是什么？,一切动植物都是由细胞组成的，细胞是生物体的基本结构单位。
魏尔肖（Rudolf Virchow）于1858年对细胞学说作出的重要补充是什么？,细胞只能来自细胞。
普金耶（1840）和冯·莫尔（1846）先后提出的关于细胞内生命物质的术语是_____。,原生质（protoplasm）
经典细胞学时期发现的主要细胞器包括中心体、线粒体和_____。,高尔基体
细胞遗传学研究中，哪位科学家在1910年提出了基因学说？,摩尔根（Morgan）。
20世纪50年代哪项技术的发展为细胞生物学学科早期的形成奠定了基础？,电子显微镜超薄切片技术。
20世纪80年代以来，细胞生物学的主流研究方向是什么？,分子细胞生物学（或细胞分子生物学）。
1925年Wilson曾指出：“一切生命的关键问题都要到_____中去寻找答案”。,细胞
在生命系统的层次结构（Hierarchy of Life）中，介于细胞和器官之间的层次是_____。,组织（Tissue）
生物界的基本类群通常被划分为哪三个域？,原核生物、古核生物和真核生物。
在六界分类系统中，由真核生物组成的四个界分别是原生生物界、真菌界、植物界和_____。,动物界
目前地球上已知的最小、最简单的细胞是_____。,支原体（Mycoplast）
支原体的直径大约是多少？,$0.1-0.3 \mu m$。
支原体除了细胞质膜外，是否具有细胞壁结构？,不具有细胞壁。
支原体内唯一的细胞器是_____。,核糖体
2010年由文特尔（Craig Venter）团队利用化学合成基因组创造的人造生命被命名为_____。,Synthia
细菌细胞的基本结构通常包括细胞壁、细胞质膜、核糖体和_____。,核区（类核）
细菌细胞壁的主要共同成分是_____。,肽聚糖
为什么革兰氏阳性菌（$G^{+}$）对青霉素通常非常敏感？,因为其细胞壁的肽聚糖含量极高。
细菌核糖体的沉降系数是多少？,$70S$。
细菌的环状DNA在拟核中是与什么蛋白质结合进行包装的？,拟核蛋白（不同于真核生物的组蛋白）。
古细菌（Archaebacteria）的膜脂中，烃链与甘油之间是通过什么键结合的？,醚键（Ether bond）。
在翻译起始氨基酸上，原核细胞使用的是 $fMet$，而古核细胞和真核细胞使用的是_____。,$Met$（甲硫氨酸）
真核细胞内用于蛋白质合成、加工和运输的生物膜系统不包括核糖体，这一说法是否正确？,正确（核糖体无膜，不属于生物膜系统）。
真核细胞的三个基本结构体系包括：生物膜系统、遗传信息表达系统和_____。,细胞骨架系统
植物细胞特有且动物细胞通常不具备的两种结构是细胞壁和_____。,液泡（或叶绿体）
病毒的生活方式表现为_____寄生。,彻底的（或专性的）
病毒对抗生素不敏感，但对哪种物质具有敏感性？,干扰素。
腺病毒的遗传物质载体是_____。,$DNA$
病毒增殖的基本过程包括：识别进入、核酸复制、蛋白质合成以及_____。,装配、成熟与释放
人肉眼的最小分辨率大约是多少？,$0.2 mm$。
普通光学显微镜的分辨率极限大约是_____。,$0.2 \mu m$
电子显微镜的分辨率极限大约是_____。,$0.2 nm$
光学显微镜由光学放大系统、照明系统和_____三部分组成。,镜架及样品调节系统
显微镜参数中的 $NA$ 代表什么含义？,数值孔径（镜口率）。
相差显微镜（Phase-contrast microscope）的设计初衷是为了观察什么？,非染色的活细胞（显微结构细节）。
相差显微镜通过什么装置将相位差转换成振幅差？,环状光阑和相差板。
哪种显微镜更适用于研究活细胞中厚度的微小区别，且具有类似立体感的效果？,微分干涉差显微镜（DIC/Nomarski）。
暗视野显微镜（Dark-field microscope）可以观察到小至多少纳米的微粒子？,$4-200 nm$。
荧光显微镜是用于对细胞内特定组分进行_____定位研究的有力工具。,定性
$GFP$ 的全称是什么？,绿色荧光蛋白（Green Fluorescent Protein）。
脂筏模型（Lipid Raft Model）主要描述的是细胞膜的什么特性？,膜的不均一性和侧向区域化（微结构域）。
细胞膜的主要化学成分包括膜脂、膜蛋白和_____。,膜糖（或糖类）
膜脂的基本类型主要包括甘油磷脂、鞘脂和_____。,固醇
甘油磷脂分子通常由一个极性头和多少个非极性尾组成？,两个（非极性脂肪酸尾）。
甘油磷脂分子中的脂肪酸碳链通常含有_____个碳原子。,偶数
在磷脂分子中，具有较小极性头的 $PE$ 相比 $PC$ 更倾向于分布在膜的什么位置？,脂双层曲率较大的一侧。
根据膜蛋白与脂双层的结合方式，可将其分为外在膜蛋白、内在膜蛋白和_____。,脂锚定膜蛋白
整合膜蛋白（内在膜蛋白）通常通过什么结构域穿过脂双层？,跨膜结构域。
整合膜蛋白最主要的结合方式是跨膜结构域与脂双层的_____核心相互作用。,疏水
某些膜蛋白可通过其胞质侧的什么氨基酸残基共价结合到膜脂肪酸分子上？,半胱氨酸（Cys）。
鞘脂是以什么分子为骨架的？,鞘氨醇。
动物细胞质膜中主要的固醇成分是_____。,胆固醇
脂锚定膜蛋白中，通过糖脂链锚定在质膜上的类型通常位于质膜的哪一侧？,细胞外侧。
细菌细胞内没有核膜包围的典型细胞核，这种结构被称为_____。,类核（Nucleoid）
蓝藻属于原核生物还是真核生物？,原核生物。
细菌的鞭毛结构及其运动机理与真核生物是否相同？,完全不同。
原核细胞与真核细胞在地球上共同生存了大约多少年？,20 多亿年。
真核细胞的遗传信息表达系统主要涉及染色质和什么结构？,核仁。
细胞生物学研究的内容包括细胞结构与功能、增殖、分化、衰老以及_____等重大生命过程。,死亡（或凋亡）
在经典细胞学时期，1861年舒尔策提出的理论是_____。,原生质理论
有丝分裂和减数分裂的研究是在哪一时期取得重要进展的？,经典细胞学时期（1841-1886）。
1924年由 Feulgen 建立的用于检测 $DNA$ 的反应是_____。,福尔根反应
细胞生物学研究认为，细胞是生命起源的标志和生物_____的起点。,演化
病毒核衣壳（Nucleocapsid）的主要组成部分包括核酸和_____。,衣壳（Capsid）
病毒释放过程中，电镜下观察到的类似“出芽”的动态变化主要涉及哪种细胞结构？,细胞质膜。
真核细胞中，具有两层膜结构的细胞器包括线粒体和_____。,叶绿体
细胞骨架系统通常包括微丝、微管和_____。,中间纤维
甘油磷脂分子中，带正电荷的氨基酸残基常与磷脂分子的什么部位形成离子键？,带负电的极性头部。
在脂双层中，具有自发封闭性质的分子基础是什么？,磷脂分子的两亲性（亲水头和疏水尾）。
跨膜蛋白的胞质外结构域通常具有什么修饰？,糖链修饰（糖基化）。
细胞质膜弯曲延伸构成的纤毛在豚鼠耳蜗毛细胞中的作用是_____。,感受声音的大小与频率
革兰氏阴性菌（$G^{-}$）对青霉素不敏感，主要是因为其细胞壁中哪种成分含量很少？,肽聚糖。
原核细胞的细胞质膜除了物质交换外，还承担了类似于真核细胞线粒体的什么功能？,有氧呼吸。
