分子生物学的第一条基本原理是什么？,构成生物体各类有机大分子的单体（如氨基酸）在不同生物中都是相同的。,单体一致性,medium
分子生物学的第二条基本原理指所有有机大分子的构成都遵循什么规则？,中心法则。,中心法则,easy
决定某一特定生物体属性的核心分子是什么？,核酸及蛋白质分子。,核心分子,easy
原核生物DNA中，几乎全部由哪些序列组成？,功能基因与调控序列。,功能序列,medium
真核细胞的基因表达调控除了与DNA序列有关，还与什么结构有关？,染色体的结构。,染色质层次,medium
真核生物与细菌和病毒在基因组序列上的最主要区别是什么？,真核基因组的大部分为非编码序列（占 $90\%$ 以上）。,非编码占比,hard
真核基因组的转录产物通常属于哪种类型？,单顺反子。,转录产物类型,medium
名词解释：基因密度,每 Mb 基因组 DNA 上所含有的平均基因数目。,基因/Mb,medium
名词解释：重叠基因,具有部分共用核苷酸序列的基因，即同一段 DNA 携带了两种或以上不同蛋白质的编码信息。,共用序列,hard
什么是“C值反常现象”（C值谬误）？,基因组大小（C值）与种系的进化复杂程度或遗传复杂性之间没有必然联系的现象。,大小≠复杂度,medium
名词解释：外显子,真核生物基因中，在剪接后仍被保存下来并表达为蛋白质的部分。,保留片段,medium
名词解释：内含子,基因中分开相邻外显子的非编码 DNA 片段，会阻断基因线性表达。,间隔片段,medium
真核生物染色体末端的 DNA 重复序列称为什么？,端粒。,末端重复,easy
一种能作为两种或多种多肽链翻译模板的信使 RNA 称为什么？,多顺反子 mRNA。,多模板,medium
什么是 DNA 的半保留复制？,子代 DNA 分子的一条链来自亲代，另一条链是新合成的复制方式。,一旧一新,medium
DNA 复制时，双链解开呈叉子形式的起始部位称为什么？,复制叉。,叉状结构,easy
在 DNA 半不连续复制中产生的短 DNA 片段被称为什么？,冈崎片段。,短片段,easy
与复制叉运动方向相反、不连续延伸的 DNA 链称为什么？,后随链（或滞后链）。,反向链,medium
前导链的合成方向和连续性是怎样的？,沿 $5' \rightarrow 3'$ 方向连续合成，与复制叉运动方向相同。,方向一致,medium
原核生物 DNA 复制起始时，负责解开负超螺旋的酶是什么？,拓扑异构酶。,解超螺旋,medium
在复制叉处负责解开 DNA 双链并水解 ATP 的酶是什么？,DNA 解链酶。,解旋酶,medium
SSB 蛋白在 DNA 复制中的主要作用是什么？,稳定已解开的单链 DNA，防止其在复制完成前重新形成双链。,防复性,medium
为什么 DNA 聚合酶不能从头启动新 DNA 链的合成？,因为它需要一条 RNA 引物提供起始点。,需引物,medium
大肠杆菌中负责合成主要新生 DNA 大片段（如冈崎片段）的酶是哪种？,DNA 聚合酶 III。,主要聚合酶,medium
DNA 聚合酶 I 在复制过程中的主要修复作用是什么？,切除 RNA 引物并填补留下的空缺。,切引物填补,hard
基因突变中的“转换”是指什么类型的碱基替换？,嘧啶到嘧啶或嘌呤到嘌呤的替换。,同类替换,medium
基因突变中的“颠换”是指什么类型的碱基替换？,嘧啶到嘌呤或嘌呤到嘧啶的替换。,异类替换,medium
